id,prefectureCode,municipalityCode,name,nameKana,municipalityType,entityType,parentMunicipality,lifecycleStatus,officialUrl,sourceUrl
jp-01100,01,011002,札幌市,さっぽろし,city,municipality,,current,https://www.city.sapporo.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01101,01,011010,中央区,ちゅうおうく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01102,01,011029,北区,きたく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01103,01,011037,東区,ひがしく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01104,01,011045,白石区,しろいしく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01105,01,011053,豊平区,とよひらく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01106,01,011061,南区,みなみく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01107,01,011070,西区,にしく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01108,01,011088,厚別区,あつべつく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01109,01,011096,手稲区,ていねく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01110,01,011100,清田区,きよたく,administrative_ward,administrative_ward,札幌市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=1
jp-01202,01,012025,函館市,はこだてし,city,municipality,,current,https://www.city.hakodate.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01203,01,012033,小樽市,おたるし,city,municipality,,current,https://www.city.otaru.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01204,01,012041,旭川市,あさひかわし,city,municipality,,current,https://www.city.asahikawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01205,01,012050,室蘭市,むろらんし,city,municipality,,current,https://www.city.muroran.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01206,01,012068,釧路市,くしろし,city,municipality,,current,https://www.city.kushiro.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01207,01,012076,帯広市,おびひろし,city,municipality,,current,https://www.city.obihiro.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01208,01,012084,北見市,きたみし,city,municipality,,current,https://www.city.kitami.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01209,01,012092,夕張市,ゆうばりし,city,municipality,,current,https://www.city.yubari.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01210,01,012106,岩見沢市,いわみざわし,city,municipality,,current,https://www.city.iwamizawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01211,01,012114,網走市,あばしりし,city,municipality,,current,https://www.city.abashiri.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01212,01,012122,留萌市,るもいし,city,municipality,,current,https://www.e-rumoi.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01213,01,012130,苫小牧市,とまこまいし,city,municipality,,current,https://www.city.tomakomai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01214,01,012149,稚内市,わっかないし,city,municipality,,current,https://www.city.wakkanai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01215,01,012157,美唄市,びばいし,city,municipality,,current,https://www.city.bibai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01216,01,012165,芦別市,あしべつし,city,municipality,,current,https://www.city.ashibetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01217,01,012173,江別市,えべつし,city,municipality,,current,https://www.city.ebetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01218,01,012181,赤平市,あかびらし,city,municipality,,current,https://www.city.akabira.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01219,01,012190,紋別市,もんべつし,city,municipality,,current,https://mombetsu.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01220,01,012203,士別市,しべつし,city,municipality,,current,https://www.city.shibetsu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01221,01,012211,名寄市,なよろし,city,municipality,,current,https://www.city.nayoro.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01222,01,012220,三笠市,みかさし,city,municipality,,current,https://www.city.mikasa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01223,01,012238,根室市,ねむろし,city,municipality,,current,https://www.city.nemuro.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01224,01,012246,千歳市,ちとせし,city,municipality,,current,https://www.city.chitose.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01225,01,012254,滝川市,たきかわし,city,municipality,,current,https://www.city.takikawa.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01226,01,012262,砂川市,すながわし,city,municipality,,current,https://www.city.sunagawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01227,01,012270,歌志内市,うたしないし,city,municipality,,current,https://www.city.utashinai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01228,01,012289,深川市,ふかがわし,city,municipality,,current,https://www.city.fukagawa.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01229,01,012297,富良野市,ふらのし,city,municipality,,current,https://www.city.furano.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01230,01,012300,登別市,のぼりべつし,city,municipality,,current,https://www.city.noboribetsu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01231,01,012319,恵庭市,えにわし,city,municipality,,current,https://www.city.eniwa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01233,01,012335,伊達市,だてし,city,municipality,,current,https://www.city.date.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01234,01,012343,北広島市,きたひろしまし,city,municipality,,current,https://www.city.kitahiroshima.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01235,01,012351,石狩市,いしかりし,city,municipality,,current,https://www.city.ishikari.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01236,01,012360,北斗市,ほくとし,city,municipality,,current,https://www.city.hokuto.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01303,01,013030,当別町,とうべつちょう,town,municipality,,current,https://www.town.tobetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01304,01,013048,新篠津村,しんしのつむら,village,municipality,,current,https://www.vill.shinshinotsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01331,01,013315,松前町,まつまえちょう,town,municipality,,current,https://www.town.matsumae.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01332,01,013323,福島町,ふくしまちょう,town,municipality,,current,https://www.town.fukushima.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01333,01,013331,知内町,しりうちちょう,town,municipality,,current,https://www.town.shiriuchi.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01334,01,013340,木古内町,きこないちょう,town,municipality,,current,https://www.town.kikonai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01337,01,013374,七飯町,ななえちょう,town,municipality,,current,https://www.town.nanae.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01343,01,013439,鹿部町,しかべちょう,town,municipality,,current,https://www.town.shikabe.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01345,01,013455,森町,もりまち,town,municipality,,current,https://www.town.hokkaido-mori.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01346,01,013463,八雲町,やくもちょう,town,municipality,,current,https://www.town.yakumo.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01347,01,013471,長万部町,おしゃまんべちょう,town,municipality,,current,https://www.town.oshamambe.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01361,01,013617,江差町,えさしちょう,town,municipality,,current,https://www.hokkaido-esashi.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01362,01,013625,上ノ国町,かみのくにちょう,town,municipality,,current,https://www.town.kaminokuni.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01363,01,013633,厚沢部町,あっさぶちょう,town,municipality,,current,https://www.town.assabu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01364,01,013641,乙部町,おとべちょう,town,municipality,,current,https://www.town.otobe.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01367,01,013676,奥尻町,おくしりちょう,town,municipality,,current,https://www.town.okushiri.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01370,01,013706,今金町,いまかねちょう,town,municipality,,current,https://www.town.imakane.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01371,01,013714,せたな町,せたなちょう,town,municipality,,current,https://www.town.setana.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01391,01,013919,島牧村,しままきむら,village,municipality,,current,https://www.vill.shimamaki.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01392,01,013927,寿都町,すっつちょう,town,municipality,,current,https://www.town.suttu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01393,01,013935,黒松内町,くろまつないちょう,town,municipality,,current,https://www.kuromatsunai.com/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01394,01,013943,蘭越町,らんこしちょう,town,municipality,,current,https://www.town.rankoshi.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01395,01,013951,ニセコ町,にせこちょう,town,municipality,,current,https://www.town.niseko.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01396,01,013960,真狩村,まっかりむら,village,municipality,,current,https://www.vill.makkari.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01397,01,013978,留寿都村,るすつむら,village,municipality,,current,https://www.vill.rusutsu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01398,01,013986,喜茂別町,きもべつちょう,town,municipality,,current,https://www.town.kimobetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01399,01,013994,京極町,きょうごくちょう,town,municipality,,current,https://www.town-kyogoku.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01400,01,014001,倶知安町,くっちゃんちょう,town,municipality,,current,https://www.town.kutchan.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01401,01,014010,共和町,きょうわちょう,town,municipality,,current,https://www.town.kyowa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01402,01,014028,岩内町,いわないちょう,town,municipality,,current,https://www.town.iwanai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01403,01,014036,泊村,とまりむら,village,municipality,,current,https://www.vill.tomari.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01404,01,014044,神恵内村,かもえないむら,village,municipality,,current,https://www.vill.kamoenai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01405,01,014052,積丹町,しゃこたんちょう,town,municipality,,current,https://www.town.shakotan.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01406,01,014060,古平町,ふるびらちょう,town,municipality,,current,https://www.town.furubira.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01407,01,014079,仁木町,にきちょう,town,municipality,,current,https://www.town.niki.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01408,01,014087,余市町,よいちちょう,town,municipality,,current,https://www.town.yoichi.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01409,01,014095,赤井川村,あかいがわむら,village,municipality,,current,https://www.akaigawa.com/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01423,01,014230,南幌町,なんぽろちょう,town,municipality,,current,https://www.town.nanporo.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01424,01,014249,奈井江町,ないえちょう,town,municipality,,current,https://www.town.naie.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01425,01,014257,上砂川町,かみすながわちょう,town,municipality,,current,https://town.kamisunagawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01427,01,014273,由仁町,ゆにちょう,town,municipality,,current,https://www.town.yuni.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01428,01,014281,長沼町,ながぬまちょう,town,municipality,,current,https://www.maoi-net.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01429,01,014290,栗山町,くりやまちょう,town,municipality,,current,https://www.town.kuriyama.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01430,01,014303,月形町,つきがたちょう,town,municipality,,current,https://www.town.tsukigata.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01431,01,014311,浦臼町,うらうすちょう,town,municipality,,current,https://www.town.urausu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01432,01,014320,新十津川町,しんとつかわちょう,town,municipality,,current,https://www.town.shintotsukawa.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01433,01,014338,妹背牛町,もせうしちょう,town,municipality,,current,https://www.town.moseushi.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01434,01,014346,秩父別町,ちっぷべつちょう,town,municipality,,current,https://www.town.chippubetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01436,01,014362,雨竜町,うりゅうちょう,town,municipality,,current,https://www.town.uryu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01437,01,014370,北竜町,ほくりゅうちょう,town,municipality,,current,https://www.town.hokuryu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01438,01,014389,沼田町,ぬまたちょう,town,municipality,,current,https://www.town.numata.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01452,01,014524,鷹栖町,たかすちょう,town,municipality,,current,https://www.town.takasu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01453,01,014532,東神楽町,ひがしかぐらちょう,town,municipality,,current,https://www.town.higashikagura.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01454,01,014540,当麻町,とうまちょう,town,municipality,,current,https://town.tohma.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01455,01,014559,比布町,ぴっぷちょう,town,municipality,,current,https://www.town.pippu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01456,01,014567,愛別町,あいべつちょう,town,municipality,,current,https://www.town.aibetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01457,01,014575,上川町,かみかわちょう,town,municipality,,current,https://www.town.hokkaido-kamikawa.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01458,01,014583,東川町,ひがしかわちょう,town,municipality,,current,https://town.higashikawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01459,01,014591,美瑛町,びえいちょう,town,municipality,,current,https://town.biei.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01460,01,014605,上富良野町,かみふらのちょう,town,municipality,,current,https://www.town.kamifurano.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01461,01,014613,中富良野町,なかふらのちょう,town,municipality,,current,https://www.town.nakafurano.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01462,01,014621,南富良野町,みなみふらのちょう,town,municipality,,current,https://www.town.minamifurano.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01463,01,014630,占冠村,しむかっぷむら,village,municipality,,current,https://www.vill.shimukappu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01464,01,014648,和寒町,わっさむちょう,town,municipality,,current,https://www.town.wassamu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01465,01,014656,剣淵町,けんぶちちょう,town,municipality,,current,https://www.town.kembuchi.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01468,01,014680,下川町,しもかわちょう,town,municipality,,current,https://www.town.shimokawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01469,01,014699,美深町,びふかちょう,town,municipality,,current,https://www.town.bifuka.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01470,01,014702,音威子府村,おといねっぷむら,village,municipality,,current,https://www.vill.otoineppu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01471,01,014710,中川町,なかがわちょう,town,municipality,,current,https://www.town.nakagawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01472,01,014729,幌加内町,ほろかないちょう,town,municipality,,current,https://www.town.horokanai.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01481,01,014818,増毛町,ましけちょう,town,municipality,,current,https://www.town.mashike.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01482,01,014826,小平町,おびらちょう,town,municipality,,current,https://www.town.obira.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01483,01,014834,苫前町,とままえちょう,town,municipality,,current,https://www.town.tomamae.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01484,01,014842,羽幌町,はぼろちょう,town,municipality,,current,https://www.town.haboro.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01485,01,014850,初山別村,しょさんべつむら,village,municipality,,current,https://www.vill.shosanbetsu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01486,01,014869,遠別町,えんべつちょう,town,municipality,,current,https://www.town.embetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01487,01,014877,天塩町,てしおちょう,town,municipality,,current,https://www.teshiotown.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01511,01,015113,猿払村,さるふつむら,village,municipality,,current,https://www.vill.sarufutsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01512,01,015121,浜頓別町,はまとんべつちょう,town,municipality,,current,https://www.town.hamatonbetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01513,01,015130,中頓別町,なかとんべつちょう,town,municipality,,current,https://www.town.nakatombetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01514,01,015148,枝幸町,えさしちょう,town,municipality,,current,https://www.esashi.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01516,01,015164,豊富町,とよとみちょう,town,municipality,,current,https://www.town.toyotomi.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01517,01,015172,礼文町,れぶんちょう,town,municipality,,current,https://www.town.rebun.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01518,01,015180,利尻町,りしりちょう,town,municipality,,current,https://www.town.rishiri.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01519,01,015199,利尻富士町,りしりふじちょう,town,municipality,,current,https://www.town.rishirifuji.hokkaido.jp/rishirifuji/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01520,01,015202,幌延町,ほろのべちょう,town,municipality,,current,https://www.town.horonobe.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01543,01,015431,美幌町,びほろちょう,town,municipality,,current,https://www.town.bihoro.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01544,01,015440,津別町,つべつちょう,town,municipality,,current,https://www.town.tsubetsu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01545,01,015458,斜里町,しゃりちょう,town,municipality,,current,https://www.town.shari.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01546,01,015466,清里町,きよさとちょう,town,municipality,,current,https://www.town.kiyosato.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01547,01,015474,小清水町,こしみずちょう,town,municipality,,current,https://www.town.koshimizu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01549,01,015490,訓子府町,くんねっぷちょう,town,municipality,,current,https://www.town.kunneppu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01550,01,015504,置戸町,おけとちょう,town,municipality,,current,https://www.town.oketo.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01552,01,015520,佐呂間町,さろまちょう,town,municipality,,current,https://www.town.saroma.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01555,01,015555,遠軽町,えんがるちょう,town,municipality,,current,https://engaru.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01559,01,015598,湧別町,ゆうべつちょう,town,municipality,,current,https://www.town.yubetsu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01560,01,015601,滝上町,たきのうえちょう,town,municipality,,current,https://town.takinoue.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01561,01,015610,興部町,おこっぺちょう,town,municipality,,current,https://www.town.okoppe.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01562,01,015628,西興部村,にしおこっぺむら,village,municipality,,current,https://www.vill.nishiokoppe.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01563,01,015636,雄武町,おうむちょう,town,municipality,,current,https://www.town.oumu.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01564,01,015644,大空町,おおぞらちょう,town,municipality,,current,https://www.town.ozora.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01571,01,015717,豊浦町,とようらちょう,town,municipality,,current,https://www.town.toyoura.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01575,01,015750,壮瞥町,そうべつちょう,town,municipality,,current,https://www.town.sobetsu.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01578,01,015784,白老町,しらおいちょう,town,municipality,,current,https://www.town.shiraoi.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01581,01,015814,厚真町,あつまちょう,town,municipality,,current,https://www.town.atsuma.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01584,01,015849,洞爺湖町,とうやこちょう,town,municipality,,current,https://www.town.toyako.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01585,01,015857,安平町,あびらちょう,town,municipality,,current,https://www.town.abira.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01586,01,015865,むかわ町,むかわちょう,town,municipality,,current,https://www.town.mukawa.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01601,01,016012,日高町,ひだかちょう,town,municipality,,current,https://www.town.hidaka.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01602,01,016020,平取町,びらとりちょう,town,municipality,,current,https://www.town.biratori.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01604,01,016047,新冠町,にいかっぷちょう,town,municipality,,current,https://www.niikappu.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01607,01,016071,浦河町,うらかわちょう,town,municipality,,current,https://www.town.urakawa.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01608,01,016080,様似町,さまにちょう,town,municipality,,current,https://www.samani.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01609,01,016098,えりも町,えりもちょう,town,municipality,,current,https://www.town.erimo.lg.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01610,01,016101,新ひだか町,しんひだかちょう,town,municipality,,current,https://www.shinhidaka-hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01631,01,016314,音更町,おとふけちょう,town,municipality,,current,https://www.town.otofuke.hokkaido.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
jp-01632,01,016322,士幌町,しほろちょう,town,municipality,,current,https://www.shihoro.jp/,https://www.pref.hokkaido.lg.jp/link/shichoson/index.html
